participante,item,frase,aspecto,classe,interpretacao
MC,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,ambiguo
JFF,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
BPLB,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
NAME,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
M C,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
MA,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
S D,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
G A T,n,Mônica estava transferindo o dinheiro para Letícia. Ela..,imperfective,C3,fonte
MC,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
JFF,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,alvo
BPLB,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
NAME,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
M C,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
MA,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
S D,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,fonte
G A T,h,Jorge estava mandando a carta para Rafael. Ele...,imperfective,C3,ambiguo
MC,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,fonte
JFF,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,fonte
BPLB,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,ambiguo
NAME,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,fonte
M C,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,alvo
MA,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,fonte
S D,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,fonte
G A T,d,Carol enviou o email para Cláudia. Ela...,perfective,C3,alvo
MC,g,João trouxe a camisa para Luís. Ele...,perfective,C1,fonte
JFF,g,João trouxe a camisa para Luís. Ele...,perfective,C1,fonte
BPLB,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
NAME,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
M C,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
MA,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
S D,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
G A T,g,João trouxe a camisa para Luís. Ele...,perfective,C1,alvo
MC,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,fonte
JFF,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,alvo
BPLB,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,fonte
NAME,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,ambiguo
M C,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,ambiguo
MA,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,ambiguo
S D,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,alvo
G A T,p,Raul estava entregando a caneta para Júlio. Ele...,imperfective,C1,ambiguo
MC,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,fonte
JFF,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,alvo
BPLB,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,fonte
NAME,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,fonte
M C,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,alvo
MA,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,alvo
S D,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,fonte
G A T,q,Rodrigo serviu a torta para Caio. Ele...,perfective,C1,fonte
MC,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
JFF,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,ambiguo
BPLB,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
NAME,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
M C,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,alvo
MA,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
S D,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
G A T,r,Rogério estava despachando a encomenda para Samuel. Ele...,imperfective,C3,fonte
MC,i,Juliana levou o café para Marina. Ela...,perfective,C1,fonte
JFF,i,Juliana levou o café para Marina. Ela...,perfective,C1,ambiguo
BPLB,i,Juliana levou o café para Marina. Ela...,perfective,C1,fonte
NAME,i,Juliana levou o café para Marina. Ela...,perfective,C1,alvo
M C,i,Juliana levou o café para Marina. Ela...,perfective,C1,alvo
MA,i,Juliana levou o café para Marina. Ela...,perfective,C1,alvo
S D,i,Juliana levou o café para Marina. Ela...,perfective,C1,alvo
G A T,i,Juliana levou o café para Marina. Ela...,perfective,C1,ambiguo
MC,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,fonte
JFF,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,alvo
BPLB,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,fonte
NAME,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,fonte
M C,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,alvo
MA,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,fonte
S D,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,fonte
G A T,k,Lúcia estava dando o presente para Márcia. Ela...,imperfective,C1,ambiguo
MC,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
JFF,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
BPLB,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,fonte
NAME,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
M C,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
MA,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
S D,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,fonte
G A T,f,Heitor repassou a mensagem para Diego. Ele...,perfective,C3,alvo
MC,b,Beatriz encaminhou o ofício para Laura. Ela...,perfective,C3,alvo
JFF,b,Beatriz encaminhou o ofício para Laura. Ela...,perfective,C3,ambiguo
BPLB,b,Beatriz encaminhou o ofício para Laura. Ela...,perfective,C3,fonte
NAME,b,Beatriz encaminhou o ofício para Laura. Ela...,perfective,C3,fonte
